collection,cumulativeTradeVolumeETH,dailyMaxSalePrice,dailyMinSalePrice,dailyTradeVolumeETH,dailyTradedItemCount,transaction_date,dailyMinSalePrice_USD,dailyMaxSalePrice_USD,DailyTradeVolumeUSD
Cryptovoxels Parcel,213.29669237185723,2.99,0.4,3.8516,3,2022-08-21,648.5006167589581,4847.542110273212,6244.412438772007
NFT Worlds,2688.336824120839,0.88,0.6188,4.3028,6,2022-08-20,974.6176293832956,1386.0108498017132,6776.96305059865
Sandbox's LANDs,3796.519281362592,1.88,1.2,23.6849988,17,2022-08-20,1890.0147951841543,2961.0231791218416,37304.16512993245
Cryptovoxels Parcel,209.44509237185724,2.0,0.32,5.02,6,2022-08-20,504.0039453824412,3150.0246586402573,7906.561893187045
Decentraland LAND,512.14114999,1.6,1.5,3.1,2,2022-08-20,2362.518493980193,2520.019726912206,4882.538220892399
Sandbox's LANDs,3772.834282562592,2.333333333333333,1.16,183.590299,97,2022-08-19,1865.490577556617,3752.423575544919,200000.0
Decentraland LAND,509.04114999,1.85,1.85,1.85,1,2022-08-19,2975.135834896329,2975.135834896329,2975.135834896329
Cryptovoxels Parcel,204.42509237185723,0.42,0.2556,1.455,3,2022-08-19,411.0511996754063,675.4362435980854,2339.904129607653
NFT Worlds,2684.034024120839,1.1,0.5101,11.0965,15,2022-08-19,820.3333996651986,1768.9996856140335,17845.18637401466
Sandbox's LANDs,3589.2439835625923,2.7,1.21,29.70499,18,2022-08-18,2237.532009512013,4992.840021225154,54930.46774151591
Decentraland LAND,507.19114999,3.6,1.9,12.4,4,2022-08-18,3513.480014936219,6657.1200283002045,22930.080097478483
NFT Worlds,2672.937524120839,1.0,0.506,14.7741,20,2022-08-18,935.695203977751,1849.200007861168,27320.265836141683
Cryptovoxels Parcel,202.97009237185725,1.2,0.34,1.92,3,2022-08-18,628.7280026727972,2219.0400094334013,3550.4640150934424
Decentraland LAND,494.79114999,1.698,1.4,3.098,2,2022-08-17,2565.3082048711467,3111.352379908005,5676.660584779152
Somnium Space Land,117.82499789,3.49999999,3.49999999,3.49999999,1,2022-08-17,6413.2704938542365,6413.2704938542365,6413.2704938542365
Sandbox's LANDs,3559.5389935625926,1.8,1.1302,43.68424999,33,2022-08-17,2070.936666532408,3298.253406262903,80045.40351642093
NFT Worlds,2658.1634241208394,1.0,0.62,6.964,9,2022-08-17,1136.0650621572222,1832.3630034793905,12760.575956230476
Cryptovoxels Parcel,201.05009237185723,0.5,0.3,1.428,4,2022-08-17,549.7089010438171,916.1815017396952,2616.6143689685696
Somnium Space Land,114.3249979,1.5,1.5,3.0,2,2022-08-16,2812.6194196892184,2812.6194196892184,5625.238839378437
